month,weekly_earnings,variable_loan_owner,cash_rate,cpi,unemployement_rate,total_new_loans_no,total_new_loans_value,average_loan_value,average_yearly_interest,loan_repayment_perc_income
2002-07-01,686.6,6.57,4.75,2.8,6.1791247,33134.0,6001.099999999999,181.11607412325705,11899.32606989799,0.3332845814912386
2002-08-01,693.1,6.57,4.75,2.8,6.3487463,30881.0,5742.4,185.95252744405943,12217.081053074706,0.33897542404455744
2002-09-01,693.1,6.57,4.75,3.2,6.3117756,29019.0,5473.1,188.604018057135,12391.28398635377,0.3438088628112762
2002-10-01,693.1,6.57,4.75,3.2,6.1278045,31550.0,5976.700000000001,189.43581616481777,12445.93312202853,0.3453251590410011
2002-11-01,701.3,6.57,4.75,3.2,6.1618229,30628.0,5900.8,192.66031082669454,12657.782421313832,0.34709666721456395
2002-12-01,701.3,6.57,4.75,2.9,6.1816987,29534.0,5792.7,196.13665605742534,12886.178302972847,0.3533596480978416
2003-01-01,701.3,6.57,4.75,2.9,6.0812102,27636.0,5343.4,193.3492545954552,12703.046026921407,0.3483378677763661
2003-02-01,709.9,6.57,4.75,2.9,5.9544008,29412.0,5644.0,191.89446484428123,12607.466340269279,0.34152877274885085
2003-03-01,709.9,6.57,4.75,3.3,6.1307934,32006.0,6324.799999999999,197.61294757233017,12983.170655502096,0.35170637943323807
2003-04-01,709.9,6.57,4.75,3.3,6.0288542,30704.0,6298.2,205.12636789994787,13476.802371026575,0.3650785693279275
2003-05-01,724.8,6.57,4.75,3.3,6.0685171,34717.0,7225.3,208.1199412391624,13673.48013941297,0.36279186139977526
2003-06-01,724.8,6.57,4.75,2.6,6.0545092,32550.0,6828.6,209.78801843317973,13783.07281105991,0.36569963096079317
2003-07-01,724.8,6.57,4.75,2.6,6.1272695,35587.0,7580.400000000001,213.01036895495548,13994.781240340577,0.371316788725287
2003-08-01,727.5,6.57,4.75,2.6,5.8175983,32697.0,7073.799999999999,216.34400709545216,14213.801266171207,0.3757282914663285
2003-09-01,727.5,6.57,4.75,2.6,5.7750212,33656.0,7375.1,219.1318041359639,14396.959531732831,0.38056990567625776
2003-10-01,727.5,6.57,4.75,2.6,5.7830692,34940.0,7621.8,218.13966800228965,14331.77618775043,0.37884684609438096
2003-11-01,742.4,6.82,4.975,2.6,5.6609297,31187.0,6968.6,223.44566646359058,15238.994452816878,0.39474351512808975
2003-12-01,742.4,7.07,5.226190476190476,2.4,5.6809146,30883.0,6866.6,222.3423890166111,15719.606903474403,0.40719306675528444
2004-01-01,742.4,7.07,5.25,2.4,5.5306387,23026.0,5082.3,220.7200555893338,15604.9079301659,0.40422196022686047
2004-02-01,745.2,7.07,5.25,2.4,5.6424998,25502.0,5638.9,221.11599090267427,15632.90055681907,0.40342552739633836
2004-03-01,745.2,7.07,5.25,2.0,5.4371392,30442.0,6972.1,229.02897312922937,16192.348400236515,0.41786274206812096
2004-04-01,745.2,7.07,5.25,2.0,5.5064787,26358.0,6240.5,236.75923818195616,16738.8781394643,0.43196658975041036
2004-05-01,745.1,7.07,5.25,2.0,5.3362539,28092.0,6727.1,239.46675210024208,16930.299373487112,0.43696507886104885
2004-06-01,745.1,7.07,5.25,2.5,5.4630615,28458.0,6701.6,235.490898868508,16649.206550003517,0.4297101718407316
2004-07-01,745.1,7.07,5.25,2.5,5.5498012,28453.0,6817.5,239.60566548342882,16940.120549678417,0.4372185599681616
2004-08-01,753.4,7.07,5.25,2.5,5.5171835,28527.0,6755.700000000001,236.81775160374386,16743.015038384692,0.42737066422945963
2004-09-01,753.4,7.07,5.25,2.3,5.3702505,28816.0,6875.700000000001,238.6070238756247,16869.516588006663,0.4305996556126755
2004-10-01,753.4,7.07,5.25,2.3,5.1224481,27173.0,6524.1,240.0949471902256,16974.712766348952,0.43328482077017405
2004-11-01,763.9,7.07,5.25,2.3,5.1609628,31004.0,7431.5,239.6948780802477,16946.42788027351,0.4266171538832487
2004-12-01,763.9,7.07,5.25,2.5,5.0681738,30375.0,7445.099999999999,245.10617283950614,17329.006419753085,0.4362483616399923
2005-01-01,763.9,7.07,5.25,2.5,5.0729865,23810.0,5715.400000000001,240.04199916001681,16970.96934061319,0.42723497187039156
2005-02-01,778.3,7.07,5.25,2.5,5.0838022,28716.0,6922.0,241.05028555509122,17042.255188744948,0.42109170847569527
2005-03-01,778.3,7.32,5.488095238095238,2.4,5.1624888,32420.0,7767.5,239.58975940777296,17537.97038864898,0.4333401790057468
2005-04-01,778.3,7.32,5.5,2.4,5.1213087,30176.0,7288.2,241.5230646871686,17679.48833510074,0.4368369013110611
2005-05-01,788.3,7.32,5.5,2.4,5.0988722,31780.0,7746.4,243.75078665827562,17842.557583385777,0.43527350928936115
2005-06-01,788.3,7.32,5.5,2.5,4.9498099,31451.0,7709.9,245.14005913961398,17944.252329019742,0.43775437721434984
2005-07-01,788.3,7.32,5.5,2.5,4.9713901,29429.0,7298.0,247.9866798056339,18152.624961772402,0.44283767800652823
2005-08-01,798.0,7.32,5.5,2.5,4.9014982,32272.0,7990.1,247.58614278631632,18123.305651958355,0.43674825650564764
2005-09-01,798.0,7.32,5.5,3.1,5.001823,32221.0,8062.2,250.2156978368145,18315.789081654824,0.44138685853226395
2005-10-01,798.0,7.32,5.5,3.1,5.0155276,31171.0,7744.2,248.44246254531456,18185.988258317026,0.4382588263523478
2005-11-01,802.9,7.32,5.5,3.1,4.9373397,34971.0,8748.0,250.15012438877926,18310.989105258643,0.4385781615025016
2005-12-01,802.9,7.32,5.5,2.8,5.0694708,32067.0,8188.0,255.34038107711976,18690.915894845166,0.44767802999811185
2006-01-01,802.9,7.32,5.5,2.8,5.161906,26293.0,6593.4,250.76636367093903,18356.097820712737,0.4396585890740474
2006-02-01,811.4,7.32,5.5,2.8,5.1033094,30220.0,7527.3,249.0833884844474,18232.904037061548,0.4321330662355082
2006-03-01,811.4,7.32,5.5,2.9,4.8668167,36765.0,9356.7,254.50020399836802,18629.41493268054,0.4415306624040249
2006-04-01,811.4,7.32,5.5,2.9,4.9649707,29590.0,7576.5,256.0493409935789,18742.811760729976,0.4442182495764675
2006-05-01,824.0,7.57,5.728260869565218,2.9,4.7976294,38389.0,9922.7,258.4776889213056,19566.761051342837,0.4566551776358952
2006-06-01,824.0,7.57,5.75,4.0,4.8078958,35375.0,9071.300000000001,256.43250883392227,19411.94091872792,0.45304193705022217
2006-07-01,824.0,7.57,5.75,4.0,4.6561776,33980.0,8822.5,259.63802236609774,19654.598293113602,0.45870515060477973
2006-08-01,828.7,7.82,5.989130434782608,4.0,4.7123474,35654.0,9212.4,258.3833510966511,20205.578055758117,0.468889596675008
2006-09-01,828.7,7.82,6.0,4.0,4.6657154,31825.0,8258.0,259.48153967007073,20291.456402199532,0.47088248512961756
2006-10-01,828.7,7.82,6.0,4.0,4.463061,32554.0,8560.800000000001,262.9722921914358,20564.433249370282,0.4772171716908383
2006-11-01,839.6,8.07,6.193181818181818,4.0,4.5148094,34869.0,9204.3,263.9679944936763,21302.217155639682,0.4879204647735112
2006-12-01,839.6,8.07,6.25,3.3,4.5676683,31170.0,8328.9,267.20885466794994,21563.75457170356,0.4939108955661936
2007-01-01,839.6,8.07,6.25,3.3,4.5535222,27704.0,7339.4,264.922032919434,21379.208056598327,0.48968391671396466
2007-02-01,851.8,8.07,6.25,3.3,4.6344274,30344.0,8067.3,265.8614553124176,21455.019443712103,0.48438192975310435
2007-03-01,851.8,8.07,6.25,2.5,4.4594237,36319.0,9866.6,271.6649687491396,21923.362978055564,0.4949555461298148
2007-04-01,851.8,8.07,6.25,2.5,4.3854011,32177.0,8785.3,273.0304254591789,22033.55533455574,0.4974433176476001
2007-05-01,863.0,8.07,6.25,2.5,4.2638564,39224.0,11067.0,282.14868447889046,22769.398837446464,0.5073847677477151
2007-06-01,863.0,8.07,6.25,2.1,4.3239259,35591.0,10476.9,294.3693630412183,23755.60759742632,0.5293610749047669
2007-07-01,863.0,8.07,6.25,2.1,4.2527827,34939.0,10081.3,288.54002690403274,23285.180171155447,0.5188782460815458
2007-08-01,869.9,8.32,6.454545454545454,2.1,4.2993773,36772.0,10576.5,287.62373545088656,23930.29478951376,0.5290239989900201
2007-09-01,869.9,8.32,6.5,1.8,4.2130953,31579.0,9068.6,287.1718547135755,23892.69831216948,0.5281928584224863
2007-10-01,869.9,8.32,6.5,1.8,4.326065,35867.0,10345.800000000001,288.4489921097388,23998.956143530268,0.5305418868554801
2007-11-01,875.2,8.57,6.704088101503987,1.8,4.4265886,37113.0,10705.1,288.44609705494037,24719.83051760839,0.5431688255345677
2007-12-01,875.2,8.57,6.748922534220462,2.9,4.3080424,31758.0,9235.0,290.7928710876,24920.94905220732,0.5475880030104618
2008-01-01,875.2,8.72,6.749830281188451,2.9,4.2211014,29082.0,8395.7,288.69059899594254,25173.82023244619,0.5531443413471687
2008-02-01,881.4,8.99,6.964270114828518,2.9,3.9792609,30414.0,8571.1,281.81429604787274,25335.105214703763,0.5527723642174113
2008-03-01,881.4,9.34,7.223723937000684,4.3,4.0567913,27853.0,7905.9,283.8437511219617,26511.00635479122,0.5784286876383555
2008-04-01,881.4,9.44,7.2497122614776925,4.3,4.2647888,28563.0,8274.6,289.6964604558345,27347.345867030774,0.596676307514068
2008-05-01,889.4,9.46,7.249974472248593,4.3,4.2655405,27407.0,8208.7,299.51107381325943,28333.747582734344,0.6126374648149648
2008-06-01,889.4,9.46,7.249987416015917,4.4,4.2433561,24187.0,7346.4,303.73341050977797,28733.180634225,0.6212740792025956
2008-07-01,889.4,9.62,7.250016753986842,4.4,4.2497782,26113.0,7862.0,301.07609236778615,28963.520085781023,0.6262545208909426
2008-08-01,901.0,9.62,7.250002025213914,4.4,4.0159366,23179.0,7037.7,303.6239699728202,29208.6259113853,0.6234232457821502
2008-09-01,901.0,9.36,7.0227272727272725,5.0,4.2889828,24628.0,7576.7,307.64576904336525,28795.643982458983,0.6146086395982878
2008-10-01,901.0,8.34,6.181818181818182,5.0,4.289952,26300.0,8278.9,314.787072243346,26253.24182509506,0.5603441011076381
2008-11-01,911.1,7.73,5.325163291966035,5.0,4.4627385,25479.0,7869.1,308.8465010400722,23873.834530397584,0.5039097821398812
2008-12-01,911.1,6.84,4.345261211573237,3.7,4.5697689,28781.0,8956.1,311.1809874570029,21284.779542058997,0.4492620826485946
2009-01-01,911.1,6.84,4.25000054328142,3.7,4.907195,25218.0,7714.0,305.8926163851217,20923.054960742324,0.4416270898394654
2009-02-01,915.8,5.84,3.35,3.7,5.3030648,28778.0,8787.6,305.35825978177775,17832.92237125582,0.3744712981347922
2009-03-01,915.8,5.84,3.2499785723178505,2.4,5.7108121,35861.0,11327.199999999999,315.86403056244944,18446.45938484705,0.38735488485995956
2009-04-01,915.8,5.76,3.0625707823036863,2.4,5.5117396,33040.0,10567.2,319.8305084745763,18422.237288135595,0.3868462480919498
2009-05-01,922.9,5.76,3.0,2.4,5.8108317,35307.0,11264.300000000001,319.0387175347665,18376.630130002548,0.38291985401373907
2009-06-01,922.9,5.78,3.000062069449825,1.4,5.8612273,35614.0,11290.8,317.0326276183523,18324.485876340765,0.38183330714096797
2009-07-01,922.9,5.78,3.0,1.4,5.6711974,35178.0,11305.9,321.39121041560065,18576.41196202172,0.38708277340702224
2009-08-01,939.7,5.78,3.0,1.4,5.7160277,31368.0,10085.4,321.5187452180566,18583.783473603675,0.38031334619075796
2009-09-01,939.7,5.78,3.0,1.2,5.6617735,34593.0,11316.400000000001,327.12976613765795,18908.100482756632,0.38695042777065985
2009-10-01,939.7,6.03,3.2142857142857144,1.2,5.6233382,33572.0,11086.4,330.22757059454307,19912.722506850947,0.4075098130101044
2009-11-01,956.4,6.28,3.4761904761904763,1.2,5.5585268,30913.0,10579.3,342.2281887878886,21491.930255879408,0.432148004051238
2009-12-01,956.4,6.64,3.738095238095238,2.1,5.490886,29373.0,10416.0,354.611377795935,23546.195485650085,0.47345404814629555
2010-01-01,956.4,6.64,3.75,2.1,5.2651623,21010.0,7402.0,352.30842455973345,23393.279390766304,0.4703792947665586
2010-02-01,968.3,6.64,3.75,2.1,5.2993773,23327.0,7958.3,341.1626012774896,22653.19672482531,0.44990023603669616
2010-03-01,968.3,6.89,3.9775,2.9,5.4220167,26529.0,9425.0,355.271589581213,24478.212522145575,0.4861456740629012
2010-04-01,968.3,7.14,4.2225,2.9,5.496823,23214.0,8319.5,358.38287240458345,25588.537089687256,0.5081970997880356
2010-05-01,981.3,7.39,4.475,2.9,5.228072,24776.0,8874.4,358.1853406522441,26469.896674200838,0.5187368536674435
2010-06-01,981.3,7.39,4.5,3.1,5.1442136,23976.0,8702.1,362.9504504504505,26822.03828828829,0.525637856538193
2010-07-01,981.3,7.39,4.5,3.1,5.2856123,23711.0,8644.1,364.5607523934039,26941.039601872548,0.5279699535520492
2010-08-01,978.5,7.39,4.5,3.1,5.0344231,23490.0,8436.6,359.1570881226054,26541.708812260535,0.5216325775767567
2010-09-01,978.5,7.39,4.5,2.9,5.0549144,23603.0,8459.9,358.4247765114604,26487.59098419692,0.5205689828268724
2010-10-01,978.5,7.39,4.5,2.9,5.2845749,23299.0,8387.9,360.01115927722213,26604.824670586713,0.5228730134543986
2010-11-01,997.5,7.79,4.7275,2.9,5.1093788,26056.0,9469.3,363.42109303039604,28310.50314706785,0.5457972459430857
2010-12-01,997.5,7.79,4.75,2.8,4.8765985,25421.0,9265.599999999999,364.4860548365524,28393.463671767433,0.5473966391318187
2011-01-01,997.5,7.79,4.75,2.8,5.002313,18081.0,6518.5,360.5165643493169,28084.240362811786,0.5414351332718679
2011-02-01,1006.1,7.79,4.75,2.8,4.9736801,20397.0,7233.5,354.635485610629,27626.104329068,0.5280501312965525
2011-03-01,1006.1,7.79,4.75,3.3,4.9255693,24611.0,8706.9,353.7808297102921,27559.526634431753,0.5267775537381922
2011-04-01,1006.1,7.79,4.75,3.3,4.9572239,21298.0,7775.5,365.08122828434597,28439.82768335055,0.5436037800828514
2011-05-01,1019.3,7.79,4.75,3.3,5.01145,24766.0,8953.4,361.51982556731,28162.394411693447,0.5313298419672144
2011-06-01,1019.3,7.79,4.75,3.5,4.9176081,23559.0,8545.5,362.7276200178276,28256.481599388768,0.5331049513502624
2011-07-01,1019.3,7.79,4.75,3.5,5.0887587,22444.0,8146.1,362.95223667795403,28273.979237212618,0.5334350730367865
2011-08-01,1024.5,7.79,4.75,3.5,5.2721674,23989.0,8534.8,355.77973237733954,27715.24115219475,0.5202395380897764
2011-09-01,1024.5,7.79,4.75,3.4,5.2227959,23393.0,8250.199999999999,352.67815158380705,27473.628008378568,0.5157042461309188
2011-10-01,1024.5,7.79,4.75,3.4,5.1880616,23118.0,8047.1,348.08806990224065,27116.060645384547,0.5089923911360992
2011-11-01,1035.1,7.55,4.5125,3.4,5.2316245,26501.0,9271.2,349.8434021357685,26413.17686125052,0.4907213881462683
2011-12-01,1035.1,7.3,4.3,3.0,5.197142,26047.0,9072.1,348.29730871117596,25425.703535915844,0.4723754586311959
2012-01-01,1035.1,7.3,4.25,3.0,5.045378,20550.0,7151.5,348.0048661800487,25404.355231143552,0.47197883577104316
2012-02-01,1050.2,7.39,4.25,3.0,5.1959499,21399.0,7277.700000000001,340.09533155754946,25133.045002102903,0.4602245177127965
2012-03-01,1050.2,7.39,4.25,1.6,5.1814853,24264.0,8284.9,341.44823606989775,25233.02464556544,0.46205529799388834
2012-04-01,1050.2,7.4,4.25,1.6,4.9917849,21492.0,7518.9,349.8464544946957,25888.637632607486,0.4740605751396709
2012-05-01,1057.3,7.04,3.7725,1.6,5.1969259,26311.0,9333.1,354.72235946942345,24972.454106647412,0.45421309188585246
2012-06-01,1057.3,6.83,3.5375,1.2,5.1647408,23751.0,8506.6,358.1575512609996,24462.160751126274,0.44493158828231333
2012-07-01,1057.3,6.83,3.5,1.2,5.1772155,24166.0,8585.3,355.2635934784408,24264.503434577506,0.4413364854341884
2012-08-01,1057.3,6.83,3.5,1.2,5.1582143,25526.0,9039.9,354.14479354383764,24188.08939904411,0.4399466238212739
2012-09-01,1057.3,6.83,3.5,2.0,5.4896198,23505.0,8262.0,351.4996809189534,24007.428206764514,0.4366606560754264
