month,weekly_earnings,variable_loan_owner,cash_rate,cpi,unemployement_rate,total_new_loans_no,total_new_loans_value,average_loan_value,average_yearly_interest,loan_repayment_perc_income
2012-10-01,1057.3,6.64,3.2725,2.0,5.4117903,26604.0,9280.4,348.8347616899714,23162.628176214104,0.4212949562422081
2012-11-01,1081.3,6.64,3.25,2.0,5.2582207,27172.0,9845.2,362.3288679523038,24058.636832032975,0.42787949035763534
2012-12-01,1081.3,6.44,3.0275,2.2,5.4333618,24142.0,8757.3,362.7412807555298,23360.538480656116,0.41546390883936213
2013-01-01,1081.3,6.44,3.0,2.2,5.3853614,21584.0,7746.6,358.9047442550037,23113.46553002224,0.4110697509767844
2013-02-01,1081.3,6.44,3.0,2.2,5.4013078,22751.0,7919.9,348.1121708935871,22418.423805547012,0.39870853114034766
2013-03-01,1081.3,6.44,3.0,2.5,5.6378204,25818.0,9032.4,349.84894259818725,22530.271903323257,0.4006977339122292
2013-04-01,1081.3,6.44,3.0,2.5,5.5845117,26904.0,9445.1,351.0667558727327,22608.699078203987,0.40209255024585766
2013-05-01,1105.0,6.18,2.8,2.5,5.6056699,30348.0,10649.1,350.8995650454725,21685.5931198102,0.3774032913297981
2013-06-01,1105.0,6.18,2.75,2.4,5.6981122,26393.0,9295.7,352.20323570643734,21766.159966657826,0.3788054292839858
2013-07-01,1105.0,6.18,2.75,2.4,5.6295306,29220.0,10057.0,344.1820670773443,21270.451745379876,0.3701784153390163
2013-08-01,1105.0,5.93,2.55,2.4,5.844802,27030.0,9396.9,347.6470588235294,20615.470588235294,0.35877950901906186
2013-09-01,1105.0,5.93,2.5,2.2,5.706998,27185.0,9635.3,354.43443075225304,21017.961743608605,0.365784228047487
2013-10-01,1105.0,5.93,2.5,2.2,5.8266795,30470.0,10935.800000000001,358.903839842468,21282.99770265835,0.3703967577907823
2013-11-01,1114.2,5.93,2.5,2.2,5.7995139,30775.0,11300.2,367.1876523151909,21774.22778229082,0.37581686381209733
2013-12-01,1114.2,5.93,2.5,2.7,5.9021761,28423.0,10552.7,371.2732646096472,22016.504591352077,0.379998491352058
2014-01-01,1114.2,5.93,2.5,2.7,5.9374291,23891.0,8831.8,369.670587250429,21921.46582395044,0.37835814975819904
2014-02-01,1114.2,5.93,2.5,2.7,5.8887509,25354.0,9113.9,359.465961978386,21316.33154531829,0.3679137074085286
2014-03-01,1114.2,5.93,2.5,2.9,5.8717632,27877.0,10268.7,368.3574272697923,21843.595437098684,0.3770141294391748
2014-04-01,1114.2,5.93,2.5,2.9,5.7995429,26869.0,10022.0,372.99490118724185,22118.59764040344,0.3817605878036577
2014-05-01,1123.0,5.93,2.5,2.9,5.9252304,30037.0,11080.699999999999,368.90168791823413,21875.870093551286,0.3746124750591014
2014-06-01,1123.0,5.93,2.5,3.0,6.0510214,27793.0,10454.3,376.1486705285503,22305.616162343034,0.38197164467331723
2014-07-01,1123.0,5.93,2.5,3.0,6.1820714,28979.0,10839.9,374.06052658821903,22181.789226681387,0.37985117519490014
2014-08-01,1123.0,5.93,2.5,3.0,6.1032122,26870.0,9747.6,362.76888723483444,21512.19501302568,0.3683847354788972
2014-09-01,1123.0,5.93,2.5,2.3,6.228036,28256.0,10433.0,369.2313137032843,21895.416902604757,0.3749472036201924
2014-10-01,1123.0,5.93,2.5,2.3,6.3641547,30005.0,11473.6,382.38960173304446,22675.703382769538,0.3883091886904846
2014-11-01,1128.7,5.93,2.5,2.3,6.3022015,27718.0,10697.9,385.954975106429,22887.130023811238,0.38995048803271354
2014-12-01,1128.7,5.93,2.5,1.7,6.1074553,30223.0,11553.2,382.26516229361744,22668.324124011513,0.38622247725449144
2015-01-01,1128.7,5.93,2.5,1.7,6.3388123,23427.0,8900.1,379.90779869381487,22528.532462543222,0.3838407095730149
2015-02-01,1128.7,5.67,2.28,1.7,6.1502903,25222.0,9097.6,360.70097533898974,20451.745301720715,0.3484564492459111
2015-03-01,1128.7,5.67,2.25,1.3,6.0992515,29642.0,11190.199999999999,377.51163889076304,21404.909925106265,0.36469645005326523
2015-04-01,1128.7,5.67,2.25,1.3,6.106209,27020.0,10429.6,385.9955588452998,21885.948186528498,0.37289237084407006
2015-05-01,1136.9,5.46,2.04,1.3,5.9265177,27401.0,10648.6,388.6208532535309,21218.69858764279,0.3589162599315749
2015-06-01,1136.9,5.46,2.0,1.5,6.0093386,29257.0,11555.1,394.95163550603274,21564.359298629388,0.3647631430040763
2015-07-01,1136.9,5.45,2.0,1.5,6.2833547,29280.0,11889.3,406.05532786885243,22130.01536885246,0.374331268037451
2015-08-01,1136.9,5.46,2.0,1.5,6.0930551,28302.0,11740.5,414.8293406826373,22649.682001271998,0.38312147745339886
2015-09-01,1136.9,5.46,2.0,1.5,6.1653466,30604.0,13024.1,425.5685531303098,23236.043000914913,0.3930398282934517
2015-10-01,1136.9,5.46,2.0,1.5,5.9219465,30056.0,13015.0,433.0250199627362,23643.166089965398,0.3999263532068546
2015-11-01,1145.7,5.63,2.0,1.5,5.8578282,30547.0,13328.3,436.32107899302713,24564.876747307426,0.4123256314128988
2015-12-01,1145.7,5.63,2.0,1.7,5.7438918,31344.0,13340.2,425.60617662072485,23961.627743746805,0.40219999435593295
2016-01-01,1145.7,5.63,2.0,1.7,6.025809,22648.0,9351.1,412.8885552808195,23245.625662310136,0.39018177772255686
2016-02-01,1145.7,5.63,2.0,1.7,5.6926303,27013.0,10630.900000000001,393.547551179062,22156.727131381187,0.37190443080449953
2016-03-01,1145.7,5.63,2.0,1.3,5.6479393,28693.0,11455.5,399.24371797999515,22477.421322273723,0.377287337305942
2016-04-01,1145.7,5.63,2.0,1.3,5.6386586,28435.0,11560.0,406.54123439423245,22888.271496395282,0.3841835273093923
2016-05-01,1160.9,5.39,1.77,1.3,5.7163539,30974.0,12530.9,404.56189061793765,21805.885904306837,0.3612231541891708
2016-06-01,1160.9,5.39,1.75,1.0,5.6984156,29713.0,12256.300000000001,412.48948271800225,22233.18311850032,0.36830150212534574
2016-07-01,1160.9,5.39,1.75,1.0,5.7033179,27095.0,11122.1,410.48532939656764,22125.159254474995,0.3665120439459271
2016-08-01,1160.9,5.26,1.52,1.0,5.6163055,28521.0,11747.099999999999,411.87546018723043,21664.64920584832,0.3588835122260633
2016-09-01,1160.9,5.26,1.5,1.3,5.6509911,28118.0,11768.2,418.5290561206345,22014.628351945375,0.36468105567870707
2016-10-01,1160.9,5.26,1.5,1.3,5.5890789,27725.0,11820.099999999999,426.3336339044184,22425.149143372408,0.3714814955136334
2016-11-01,1163.5,5.26,1.5,1.3,5.7666775,31777.0,13686.0,430.6888630141297,22654.23419454322,0.37443777386769395
2016-12-01,1163.5,5.26,1.5,1.5,5.8340869,30412.0,13011.900000000001,427.85413652505594,22505.12758121794,0.37197328321738027
2017-01-01,1163.5,5.26,1.5,1.5,5.6871913,24493.0,10084.6,411.73396480627116,21657.206548809863,0.3579585228390774
2017-02-01,1163.5,5.26,1.5,1.5,5.8493444,26479.0,10554.400000000001,398.59511310850115,20966.10294950716,0.3465357004645658
2017-03-01,1163.5,5.28,1.5,2.1,5.8470485,31884.0,13343.900000000001,418.5139882072513,22097.53857734287,0.36523649759252375
2017-04-01,1163.5,5.28,1.5,2.1,5.608427,26126.0,11016.5,421.6680701217178,22264.0741024267,0.367989059905899
2017-05-01,1179.0,5.29,1.5,2.1,5.5384647,32973.0,14218.2,431.20735146938404,22810.868892730414,0.3720700217382791
2017-06-01,1179.0,5.23,1.5,1.9,5.6053461,31308.0,13339.4,426.07001405391594,22283.461735019806,0.36346743875219883
2017-07-01,1179.0,5.22,1.5,1.9,5.6047958,30346.0,12696.8,418.4011072299479,21840.537797403278,0.3562428687512768
2017-08-01,1179.0,5.22,1.5,1.9,5.5243715,33349.0,13930.4,417.71567363339227,21804.758163663075,0.35565926410359294
2017-09-01,1179.0,5.22,1.5,1.8,5.4565998,30545.0,13004.0,425.7325257816337,22223.237845801275,0.3624851217753193
2017-10-01,1179.0,5.22,1.5,1.8,5.3783521,31605.0,13536.300000000001,428.296155671571,22357.059326056,0.36466789531636984
2017-11-01,1191.5,5.22,1.5,1.8,5.428035,34175.0,15134.099999999999,442.84125822970003,23116.31367959034,0.373096511823983
2017-12-01,1191.5,5.22,1.5,1.9,5.6126478,30135.0,13460.8,446.68325866932133,23316.866102538574,0.3763334210681199
2018-01-01,1191.5,5.22,1.5,1.9,5.5059928,25248.0,11166.800000000001,442.2845373891002,23087.25285171103,0.3726274710563774
2018-02-01,1191.5,5.22,1.5,1.9,5.569042,26410.0,11374.400000000001,430.6853464596744,22481.775085195004,0.36285508062227645
2018-03-01,1191.5,5.22,1.5,1.9,5.5094272,28849.0,12656.0,438.6980484592187,22900.038129571214,0.36960583184691587
2018-04-01,1191.5,5.22,1.5,1.9,5.5318399,26437.0,11896.3,449.98676097893104,23489.3089231002,0.3791166422915556
2018-05-01,1207.4,5.22,1.5,1.9,5.3937237,31960.0,14538.5,454.8967459324155,23745.610137672087,0.37820635150023707
2018-06-01,1207.4,5.22,1.5,2.1,5.3352675,28761.0,12959.8,450.60324745314836,23521.489517054342,0.37463668781383935
2018-07-01,1207.4,5.22,1.5,2.1,5.3048807,28967.0,12905.0,445.5069561915283,23255.463113197773,0.3703995730367505
2018-08-01,1207.4,5.22,1.5,2.1,5.2870419,28804.0,12749.2,442.61908068323845,23104.716011665045,0.3679985603468522
2018-09-01,1207.4,5.31,1.5,1.9,5.0291088,26023.0,11320.0,434.99980786227565,23098.489797486836,0.367899392806648
2018-10-01,1207.4,5.34,1.5,1.9,5.0151542,30047.0,13140.9,437.3448264385795,23354.213731820146,0.3719724158047831
2018-11-01,1225.3,5.34,1.5,1.9,5.1171637,31067.0,13427.1,432.19815238033925,23079.381337110113,0.3622249706054736
2018-12-01,1225.3,5.34,1.5,1.8,5.0243962,25712.0,11263.800000000001,438.0756067205974,23393.2373988799,0.36715086099604965
2019-01-01,1225.3,5.37,1.5,1.8,5.04653,21644.0,9280.5,428.7793383847718,23025.450471262244,0.36137853949836846
2019-02-01,1225.3,5.37,1.5,1.8,4.9719152,23035.0,9795.5,425.24419361840677,22835.613197308445,0.35839909217379173
2019-03-01,1225.3,5.37,1.5,1.3,5.0797036,24636.0,10576.2,429.29858743302486,23053.334145153436,0.3618161666083885
2019-04-01,1225.3,5.37,1.5,1.3,5.2114796,23156.0,10418.7,449.9352219727069,24161.52141993436,0.3792088816543258
2019-05-01,1237.9,5.37,1.5,1.3,5.2082318,26773.0,11793.900000000001,440.514697643148,23655.639263437046,0.36749021704619245
2019-06-01,1237.9,5.15,1.28,1.6,5.2671008,23842.0,10630.6,445.8770237396192,22962.666722590388,0.3567248926934322
2019-07-01,1237.9,4.94,1.02,1.6,5.2886069,26440.0,11840.6,447.82904689863847,22122.754916792743,0.34367686772251926
2019-08-01,1237.9,4.94,1.0,1.6,5.2776787,25766.0,11819.8,458.7363191803151,22661.574167507566,0.35204742161830466
2019-09-01,1237.9,4.94,1.0,1.7,5.2128931,24944.0,11658.8,467.3989737010904,23089.50930083387,0.35869539140159623
2019-10-01,1237.9,4.8,0.76,1.7,5.3106526,27632.0,13308.6,481.63723219455704,23118.58714533874,0.35914711554522766
2019-11-01,1257.0,4.8,0.75,1.7,5.1669666,29156.0,14403.8,494.0252435176293,23713.211688846208,0.3627870339765958
2019-12-01,1257.0,4.8,0.75,1.8,5.0651292,29245.0,14531.599999999999,496.89177637202937,23850.80526585741,0.36489207003637186
2020-01-01,1257.0,4.8,0.75,1.8,5.2596272,24004.0,12100.7,504.1118146975504,24197.367105482423,0.37019409928221075
2020-02-01,1257.0,4.8,0.75,1.8,5.0814185,23012.0,11048.400000000001,480.11472275334614,23045.506692160616,0.3525718544177317
2020-03-01,1257.0,4.52,0.43,2.2,5.2052962,26613.0,13170.5,494.8897155525495,22369.015142975237,0.3422222499078275
2020-04-01,1257.0,4.52,0.25,2.2,6.3089647,23239.0,11903.900000000001,512.2380481087827,23153.159774516975,0.3542188326068933
2020-05-01,1304.7,4.52,0.25,2.2,7.0107585,22432.0,11322.0,504.72539229671895,22813.587731811695,0.33626338698273833
2020-06-01,1304.7,4.52,0.25,-0.3,7.4455346,25584.0,12417.2,485.35021888680427,21937.829893683553,0.32335505795148234
2020-07-01,1304.7,4.52,0.25,-0.3,7.540266,28228.0,13632.4,482.938925889188,21828.839450191295,0.3217485813153524
2020-08-01,1304.7,4.52,0.25,-0.3,6.833792,29071.0,14194.900000000001,488.2838567644732,22070.430325754187,0.32530953661251605
2020-09-01,1304.7,4.52,0.25,0.7,6.928496,32804.0,15968.3,486.779051335203,22002.413120351175,0.3243069895282613
2020-10-01,1304.7,4.52,0.25,0.7,6.9768769,33651.0,16497.6,490.25586163858424,22159.564946064005,0.32662334615773747
2020-11-01,1280.3,4.52,0.11,0.7,6.8371114,36122.0,18175.3,503.1642766181275,22743.025303139362,0.34161202156855314
2020-12-01,1280.3,4.52,0.1,0.9,6.5857317,40108.0,20431.800000000003,509.4195671686448,23025.764436022742,0.3458589098111432
2021-01-01,1280.3,4.52,0.1,0.9,6.3215728,33308.0,17029.7,511.27957247508107,23109.836675873663,0.3471217184054468
2021-02-01,1280.3,4.52,0.1,0.9,5.7976702,34194.0,16929.199999999997,495.0927063227466,22378.190325788146,0.33613201121414077
2021-03-01,1280.3,4.52,0.1,1.1,5.6107836,41750.0,21359.7,511.60958083832344,23124.75305389222,0.3473457701303814
2021-04-01,1280.3,4.52,0.1,1.1,5.4110021,37300.0,20102.3,538.935656836461,24359.891689008036,0.3658981922657556
2021-05-01,1305.8,4.52,0.1,1.1,5.0573884,39115.0,21493.6,549.4976351783203,24837.293110060073,0.3657836208581252
2021-06-01,1305.8,4.52,0.1,3.8,4.9766911,39833.0,22145.5,555.9586272688475,25129.329952551907,0.3700845039373433
2021-07-01,1305.8,4.52,0.1,3.8,4.7093936,37643.0,21531.6,571.9947931886406,25854.164652126557,0.3807592847904403
2021-08-01,1305.8,4.52,0.1,3.8,4.5666967,35871.0,20263.7,564.904797747484,25533.69685818628,0.3760396935887561
2021-09-01,1305.8,4.52,0.1,3.0,4.6673241,34237.0,19687.800000000003,575.0445424540702,25992.013318923975,0.3827894087756986
2021-10-01,1305.8,4.52,0.1,3.0,5.2528429,32702.0,18708.4,572.0873341080057,25858.34750168186,0.3808208864250896
2021-11-01,1328.9,4.52,0.1,3.0,4.6041171,38322.0,22836.0,595.8979176452168,26934.585877563797,0.3897756078995901
2021-12-01,1328.9,4.52,0.1,3.5,4.1737362,38535.0,23233.8,602.9272090307512,27252.30984818995,0.3943734530032061
2022-01-01,1328.9,4.52,0.1,3.5,4.1519935,28969.0,17891.5,617.6084780282371,27915.903206876315,0.4039764409962594
2022-02-01,1328.9,4.52,0.1,3.5,4.0069381,28219.0,16736.1,593.0791310818952,26807.176724901663,0.38793184537966136
2022-03-01,1328.9,4.52,0.1,5.1,3.9208216,34734.0,20837.699999999997,599.9222663672481,27116.486439799613,0.3924079261592817
2022-04-01,1328.9,4.52,0.1,5.1,3.871265,28447.0,17385.5,611.1540760009842,27624.164235244487,0.3997546298448758
2022-05-01,1344.7,4.77,0.33,5.1,3.9112687,33492.0,20599.4,615.0543413352443,29338.09208169115,0.4195687354012497
2022-06-01,1344.7,5.27,0.73,6.1,3.5786489,32017.0,19523.6,609.7885498329013,32135.856576193895,0.4595800117869283
2022-07-01,1344.7,5.77,1.28,6.1,3.4581311,28420.0,17309.0,609.0429275158339,35141.776917663614,0.5025681581488524
2022-08-01,1344.7,6.27,1.81,6.1,3.5115979,30057.0,17707.8,589.1406327976844,36939.117676414804,0.5282722150839306
2022-09-01,1344.7,6.77,2.25,7.3,3.5676064,26645.0,15679.0,588.4406079939951,39837.42916119346,0.5697214300186123
2022-10-01,1344.7,7.02,2.58,7.3,3.4274565,26983.0,16053.199999999999,594.9375532742838,41764.616239854724,0.5972824398901487
2022-11-01,1378.6,7.27,2.84,7.3,3.4675797,28160.0,16946.6,601.7968749999999,43750.63281249999,0.6102990884355923
2022-12-01,1378.6,7.52,3.05,7.8,3.5251211,26206.0,15837.5,604.3463329008624,45446.844234144846,0.6339603755502355
2023-01-01,1378.6,7.52,3.1,7.8,3.664257,19893.0,11960.7,601.2516965766853,45214.127582566725,0.6307140965551273
2023-02-01,1378.6,7.77,3.29,7.8,3.5489147,20772.0,12163.2,585.5574812247256,45497.81629116118,0.6346714098355241
2023-03-01,1378.6,8.02,3.54,7.0,3.5259781,26770.0,15446.3,577.0003735524841,46275.42995890922,0.6455187252244364
2023-04-01,1378.6,8.02,3.6,7.0,3.6800717,22250.0,13015.7,584.9752808988763,46915.01752808988,0.654440646699688
2023-05-01,1378.6,8.27,3.83,7.0,3.5512165,28838.0,16865.5,584.8359803037658,48365.93557112143,0.6746802158700776
